KEY_POWER,RC5,0,-1,12
KEY_POWER,RC5,2,-1,12
vton,RC5,2,-1,63
KEY_POWER,NEC,37,250,0
KEY_POWER,RECS80,5,-1,30
KEY_POWER,Aiwa,19,1,19
auto_on,Aiwa,19,1,31
off,Aiwa,19,1,28
0,Proton,6,-1,0
1,Proton,6,-1,1
2,Proton,6,-1,2
3,Proton,6,-1,3
4,Proton,6,-1,4
5,Proton,6,-1,5
6,Proton,6,-1,6
7,Proton,6,-1,7
8,Proton,6,-1,8
9,Proton,6,-1,9
sleep,Proton,6,-1,11
channel_up,Proton,6,-1,16
channel_next,Proton,6,-1,16
channel_down,Proton,6,-1,17
channel_prev,Proton,6,-1,17
vol_down,Proton,6,-1,18
vol_up,Proton,6,-1,19
video,Proton,6,-1,20
audio,Proton,6,-1,21
fav_main,Proton,6,-1,22
mute,Proton,6,-1,23
power,Proton,6,-1,24
store,Proton,6,-1,25
ext,Proton,6,-1,26
sys,Proton,6,-1,30
